School Name,12 #, %, # English Learners, % English Learners, # Free or Reduced Priced Lunch Eligible, % Free or Reduced Priced Lunch Eligible, # IEP, % IEP, # Am In/ AK Native, % Am In/ AK Native, # Asian, % Asian, # Hispanic, % Hispanic, # Black, % Black, # White, % White, # Pacific Islander, % Pacific Islander, # Two or More Races, % Two or More Races, # Male, % Male, # Female, % Female, # Homeless, % Homeless, # Foster, % Foster, # Military Connected, % Military Connected
CC Detention,20,>95,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,-,-,19,95,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Centennial HS,58,8.9,-,-,58,8.9,-,-,0,<5,0,<5,18,7.8,17,13.7,16,8.4,0,<5,-,-,34,10.8,24,7.1,0,<5,-,-,0,<5
Chaparral HS,60,13.2,21,16.5,60,13.2,10,15.6,0,<5,0,<5,38,12.4,17,20.5,-,-,-,-,-,-,31,13.5,29,13,-,-,-,-,N/A,N/A
Cheyenne HS,65,14.6,20,23.5,65,14.6,13,21.3,0,<5,-,-,36,13.8,17,17.3,-,-,-,-,-,-,37,16.9,28,12.4,-,-,0,<5,0,<5
Cimarron-Memorial HS,34,5.9,11,10,34,5.9,-,-,0,<5,-,-,17,5.2,-,-,-,-,0,<5,-,-,21,6.8,13,<5,-,-,-,-,0,<5
Clark HS,82,12.7,39,23.9,82,12.7,-,-,0,<5,-,-,63,16.6,10,14.7,-,-,0,<5,-,-,48,14.7,34,10.7,-,-,-,-,N/A,N/A
Coronado HS,36,<5,-,-,36,<5,10,15.2,-,-,0,<5,11,6.1,-,-,16,<5,0,<5,-,-,25,7,11,<5,-,-,N/A,N/A,0,<5
Cowan Behavior Jr/Sr HS,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,0,<5,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cowan Sunset SE HS,-,-,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
CSNHS East,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A
CSNHS South,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
CSNHS West,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
CTTA,-,-,0,<5,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A
Del Sol Academy,47,8.1,15,12.2,47,8.1,-,-,0,<5,-,-,27,6.9,15,20,-,-,0,<5,-,-,32,11.1,15,5.2,10,41.7,-,-,0,<5
Delta Academy,45,21.7,-,-,45,21.7,-,-,0,<5,0,<5,16,20.5,14,30.4,13,21.3,0,<5,-,-,24,24.7,21,19.1,-,-,0,<5,0,<5
Desert Oasis HS,41,5.4,-,-,41,5.4,-,-,0,<5,-,-,13,6.6,11,11.8,-,-,-,-,-,-,15,<5,26,7.2,-,-,0,<5,0,<5
Desert Pines HS,115,18.4,56,27.1,115,18.4,22,25.9,-,-,-,-,88,17.9,19,21.1,-,-,-,-,-,-,61,19.6,54,17.3,-,-,-,-,0,<5
Desert Rose HS,64,61.5,-,-,64,61.5,-,-,-,-,N/A,N/A,29,54.7,25,67.6,-,-,N/A,N/A,-,-,33,66,31,57.4,0,<5,-,-,N/A,N/A
Desert Willow Secondary,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Durango HS,76,15.2,11,15.1,76,15.2,10,19.6,0,<5,-,-,33,15.6,18,20.5,14,17.5,-,-,-,-,36,13.3,40,17.5,-,-,0,<5,0,<5
East CTA,-,-,0,<5,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,-,-,-,-,0,<5,N/A,N/A,0,<5
Eldorado HS,58,12.4,17,15,58,12.4,11,18.6,0,<5,0,<5,45,12.8,-,-,-,-,0,<5,-,-,31,12.3,27,12.4,-,-,-,-,0,<5
Explore Knowledge SEC,0,<5,0,<5,N/A,N/A,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Foothill HS,50,10.4,-,-,50,10.4,12,20,0,<5,-,-,22,16.4,-,-,15,6.3,0,<5,-,-,29,11.7,21,9,-,-,N/A,N/A,0,<5
Global Community High school,14,19.7,14,20.6,14,19.7,N/A,N/A,N/A,N/A,-,-,12,17.6,N/A,N/A,-,-,N/A,N/A,N/A,N/A,11,27.5,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Green Valley HS,42,6.8,-,-,42,6.8,-,-,-,-,-,-,11,<5,13,20.6,10,<5,0,<5,-,-,28,8.8,13,<5,-,-,0,<5,-,-
Indian Springs HS,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Innovations Charter SEC,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Juvenile Detention 3-12,26,89.7,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,13,92.9,-,-,N/A,N/A,-,-,20,90.9,-,-,N/A,N/A,0,<5,N/A,N/A
Las Vegas Academy,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
Las Vegas HS,57,9.1,25,16.8,57,9.1,-,-,0,<5,-,-,47,10.3,-,-,-,-,0,<5,0,<5,32,9.3,24,8.5,-,-,0,<5,0,<5
Laughlin Jr/Sr HS,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Legacy HS,98,15.3,12,16.4,98,15.3,18,21.2,0,<5,-,-,41,14.4,33,16.4,10,17.9,-,-,-,-,66,18.8,32,11.1,-,-,-,-,-,-
Liberty HS,52,6.4,-,-,52,6.4,-,-,-,-,-,-,15,6.3,11,10.5,-,-,-,-,-,-,37,8.5,15,<5,0,<5,0,<5,-,-
Miley Achievement Center Sec,-,-,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Miller (John) School,-,-,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N/A,N/A,N/A,N/A
Mission High School,0,<5,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,0,<5,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
Moapa Valley HS,-,-,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,N/A,N/A,-,-,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,0,<5
Mojave HS,48,8.5,10,12.2,48,8.5,-,-,0,<5,-,-,27,8.4,15,10.7,-,-,0,<5,-,-,32,10.5,16,6.1,-,-,0,<5,-,-
Morris Sunset East HS,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,0,<5,0,<5,N/A,N/A,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,N/A,N/A
NECTA HS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nevada Learning Academy,193,43.5,34,57.6,N/A,N/A,35,44.9,N/A,N/A,-,-,101,52.6,47,50,27,29,-,-,10,27.8,89,46.1,104,41.4,-,-,N/A,N/A,0,<5
NW CTA,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
Odyssey Charter HS,14,<5,-,-,N/A,N/A,-,-,0,<5,-,-,-,-,-,-,-,-,0,<5,0,<5,-,-,-,-,-,-,N/A,N/A,0,<5
Palo Verde HS,35,<5,-,-,35,<5,-,-,0,<5,-,-,13,7.3,-,-,12,<5,0,<5,-,-,22,5.6,13,<5,0,<5,0,<5,-,-
Peterson Behavior Jr./Sr. HS,-,-,N/A,N/A,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Rancho HS,63,8.6,28,16.6,63,8.6,15,19.2,-,-,0,<5,53,9.1,-,-,0,<5,-,-,-,-,45,11.4,18,5.3,-,-,0,<5,0,<5
Sandy Valley Jr/Sr HS,-,-,-,-,-,-,0,<5,N/A,N/A,N/A,N/A,-,-,N/A,N/A,-,-,0,<5,N/A,N/A,-,-,-,-,-,-,-,-,N/A,N/A
SE CTA,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
Shadow Ridge HS,55,7.6,-,-,55,7.6,11,14.3,-,-,0,<5,20,8.4,10,10.6,18,6.8,-,-,-,-,30,7.7,25,7.6,0,<5,-,-,0,<5
Sierra Vista HS,36,5.1,-,-,36,5.1,-,-,N/A,N/A,-,-,18,8.5,-,-,-,-,-,-,-,-,24,6,12,<5,0,<5,0,<5,-,-
Silverado HS,35,7.4,-,-,35,7.4,-,-,0,<5,-,-,11,5.7,-,-,10,8.7,-,-,-,-,17,6.9,18,7.9,-,-,-,-,0,<5
South Continuation Jr./Sr. Hig,-,-,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,-,-,0,<5,-,-,N/A,N/A,N/A,N/A
Spring Mountain Jr/Sr HS,15,75,-,-,N/A,N/A,-,-,-,-,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,15,75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Spring Valley HS,35,6.3,-,-,35,6.3,-,-,0,<5,-,-,-,-,-,-,-,-,0,<5,-,-,26,9.1,-,-,-,-,0,<5,0,<5
Stewart School,-,-,-,-,-,-,-,-,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Summit View J/SHS,-,-,-,-,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,-,-,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A,N/A,N/A,-,-,N/A,N/A
Sunrise Mountain HS,63,11.2,24,15.4,63,11.2,15,22.7,0,<5,0,<5,46,10.5,11,13.6,-,-,0,<5,-,-,47,15.3,16,6.3,-,-,0,<5,N/A,N/A
SW CTA,-,-,0,<5,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,0,<5,0,<5,0,<5,-,-,0,<5,0,<5,N/A,N/A,0,<5
Valley HS,79,15.6,35,24.6,79,15.6,-,-,-,-,-,-,56,16,12,14.8,-,-,0,<5,0,<5,40,16.6,39,14.8,-,-,-,-,0,<5
Variety SEC,-,-,-,-,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,-,-,N/A,N/A,0,<5,-,-,-,-,N/A,N/A,N/A,N/A,N/A,N/A
Virgin Valley HS,11,5.6,-,-,11,5.6,0,<5,0,<5,0,<5,-,-,0,<5,-,-,0,<5,0,<5,-,-,-,-,0,<5,N/A,N/A,N/A,N/A
VT CTA,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
West CTA,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,0,<5,N/A,N/A,0,<5
West Prep Sec,-,-,-,-,-,-,0,<5,N/A,N/A,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A,0,<5,0,<5,-,-,0,<5,N/A,N/A,N/A,N/A
Western HS,106,17.7,39,20.1,106,17.7,14,20,N/A,N/A,-,-,78,16.5,17,23,-,-,0,<5,-,-,64,19.5,42,15.5,-,-,N/A,N/A,N/A,N/A
