"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"French ES","93.0","-","91.3","93.2","91.7",">95","-","91.3","91.6","93.7","93.0"
"Frias ES","93.8","-","93.8","93.3","94.1","94.0","93.7","93.9","91.9","93.3","93.8"
"Galloway ES","92.6","-","92.1","92.0","91.5","93.0","93.2","93.8","91.3","93.5","92.6"
"Garehime ES","91.8","-","94.7","91.4","90.5","92.8","92.4","92.5","91.4","94.2","91.8"
"Garrett JHS","93.2","-","-","92.3","-","93.4","-","93.3","90.9","-","93.2"
"Garside JHS","90.4","-","90.5","91.1","88.8","87.8","90.3","88.1","89.2","91.2","90.4"
"Gehring ES",">95","-",">95","94.8",">95",">95","91.7","94.6","92.9",">95",">95"
"Gibson (James)ES","92.7","-",">95","92.5","89.5","93.6","-","92.9","90.5","89.9","92.7"
"Gibson (Robert)MS","92.3","-","-","92.6","91.5","90.5","92.0","90.8","91.5","91.4","92.3"
"Gilbert ES","92.8","N/A","89.0","93.0","92.3","93.0","-","93.6","90.7","94.3","92.8"
"Givens ES","94.6","N/A",">95","93.3","91.8","94.7","-",">95","93.6",">95","94.6"
"GlobalCommunity Highschool","93.4","N/A","-","93.6","-","-","N/A","-","-","93.4","93.4"
