"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"Martin MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Martinez ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Mathis ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"May ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"McCall ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"McCaw ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"McDoniel ES","-","-","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"McMillan ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"McWilliams ES","0","<5","0","<5","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Mendoza ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"MileyAchievementCenter ES","0","<5","N/A","N/A","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"MileyAchievementCenter Sec","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Miller (Bob) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","-","-"
"Miller (John)School","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5"
"Miller (Sandy)ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Mission HighSchool","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mitchell ES","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Molasky JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Monaco MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","21","5.9","22","6.2"
"Moore ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Morrow ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Mountain ViewES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Neal ES","0","<5","0","<5","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"NevadaLearningAcademy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","33","5.8"
"Newton ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"NV LearningAcademy ES","0","<5","0","<5","-","-","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"O'CallaghanMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"O'Roarke ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Ober ES","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"OdysseyCharter ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"OdysseyCharter MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5"
"Orr MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Paradise PDS","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Park ES","-","-","-","-","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Parson ES","0","<5","-","-","0","<5","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Perkins (Dr.Claude G.) ES","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
