"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"Fertitta MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","-","-","-","-"
"Findlay MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Fine ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Fitzgerald ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Fong ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Forbuss ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Fremont MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","0","<5"
"French ES","-","-","-","-","-","-","-","-","-","-","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Frias ES","0","<5","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Galloway ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Garehime ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Garrett JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","-","-"
"Garside JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","-","-","0","<5"
"Gehring ES","0","<5","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Gibson(James) ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Gibson(Robert) MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Gilbert ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Givens ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Goldfarb ES","0","<5","-","-","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
