"Stewart School","-","-","-","-","-","-","-","-","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Summit View J/SHS","-","-","0","<5","N/A","N/A","-","-","-","-","N/A","N/A","0","<5","-","-","-","-","N/A","N/A","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise MountainHS","245","38","90","45.2","245","38","32","42.1","-","-","-","-","182","36.3","35","38.9","17","63","0","<5","-","-","133","44.8","112","32.2","11","57.9","0","<5","N/A","N/A"
"SW CTA","-","-","0","<5","-","-","0","<5","N/A","N/A","-","-","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","-","-","0","<5","N/A","N/A","N/A","N/A"
"Valley HS","245","35.3","93","46.5","245","35.3","27","37.5","-","-","-","-","166","34.3","54","46.6","12","29.3","-","-","-","-","128","36.2","117","34.4","15","65.2","-","-","0","<5"
"Variety SEC","17","94.4","-","-","17","94.4","17","94.4","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","-","-","13","92.9","-","-","N/A","N/A","-","-","N/A","N/A"
"Virgin Valley HS","18","9.2","-","-","18","9.2","0","<5","-","-","-","-","10","10","0","<5","-","-","N/A","N/A","0","<5","11","10.5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"VT CTA","-","-","-","-","-","-","0","<5","0","<5","-","-","-","-","-","-","-","-","0","<5","0","<5","-","-","-","-","0","<5","N/A","N/A","0","<5"
"West CTA","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","0","<5"
"West Prep Sec","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A","-","-","-","-","0","<5","N/A","N/A","-","-","-","-","-","-","-","-","N/A","N/A","N/A","N/A"
"Western HS","308","42.8","114","52.5","308","42.8","38","40.4","-","-","-","-","233","42.9","44","47.3","10","23.3","-","-","10","66.7","188","47.1","120","37.4","20","74.1","-","-","-","-"
