"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Herr ES","91.7","-","-","91.6","92.0","92.7","-","89.4","88.9","92.5","91.7"
"Herron ES","95.0","-","-",">95","92.3","94.0","-","-","93.7",">95","95.0"
"Hewetson ES","92.4","N/A","-","92.6","91.2","91.6","N/A","-","91.3","92.8","92.4"
"Hickey ES","91.3","-","-","91.3","90.7","91.9","-","91.3","89.4","91.7","91.3"
"Hill ES","93.2","-",">95","92.7","93.9","93.9","92.5","91.6","92.9","93.1","93.2"
"Hinman ES","92.2","-",">95","92.6","90.9","91.0","-","93.6","90.7","93.2","92.2"
"Hoggard ES",">95","-",">95",">95","94.9","94.0","-","94.3","93.0",">95",">95"
"Hollingsworth ES","91.5","-","-","92.8","87.2","91.4","-","89.2","88.6","93.3","91.5"
"Hughes MS","93.3","N/A","-","93.9","-","92.5","-","94.6","91.7","93.7","93.3"
"Hummel ES","92.0","N/A","94.7","92.0","90.3","92.0","92.9","91.2","91.3","93.3","92.0"
"Hyde Park MS",">95","-",">95",">95",">95",">95",">95",">95",">95",">95",">95"
"Indian SpringsES","89.9","-","-","88.3","-","91.4","N/A","89.3","88.4","-","89.9"
"Indian SpringsHS","91.8","-","-","90.9","-","91.8","-","-","89.5","-","91.8"
"Indian SpringsMS","91.8","-","-","91.7","N/A","91.9","-","-","88.8","-","91.8"
"InnovationsCharter SEC","90.5","N/A","-","90.5","91.9","88.4","-","90.6","90.2","89.9","90.5"
"InnovationsInternational ES","90.8","-","93.9","90.9","89.9","90.2","-","89.0","89.5","91.8","90.8"
"Iverson ES","92.5","N/A","93.5","92.0","91.6","94.3",">95","92.0","92.5","93.2","92.5"
"Jacobson ES","92.4","-","93.9","92.3","90.8","93.5","-","93.8","92.0","91.9","92.4"
"Jeffers ES","91.2","-","-","91.5","86.7","94.6","-","-","91.5","92.0","91.2"
"Jenkins, Earl NES","91.9","N/A","93.7","91.7","91.2","92.9","90.1","91.7","91.0","92.3","91.9"
"Johnson JHS","93.3","N/A",">95","93.5","91.5","93.2","92.3","93.9","92.1","93.1","93.3"
"Johnston MS","89.4","-","92.8","89.9","87.9","92.6","89.1","89.7","87.9","90.1","89.4"
"JuvenileDetention 3-12","89.3","N/A","-","84.6","88.6",">95","N/A","-","92.5","-","N/A"
"Jydstrup ES","93.8","-","94.8","92.9","94.5","94.0","-","93.0","91.8",">95","93.8"
"Kahre ES","92.4","-","94.0","92.1","90.3","94.1","-","92.7","91.5","92.8","92.4"
"Katz ES","92.9","-",">95","93.0","92.7","93.5","90.7","92.0","93.4","94.5","92.9"
"Keller ES","92.4","N/A","94.6","92.6","91.3","92.6","N/A","90.8","92.3","92.4","92.4"
"Keller (Duane)MS","89.9","-","94.7","90.2","87.2","89.7","91.1","87.8","89.7","90.2","89.9"
"Kelly ES","90.0","-","-","88.4","90.7","92.2","-","90.2","88.2","90.6","90.0"
"Kenneth DivichElementary","93.9","-","94.3","93.0","94.1","94.3","-","93.9","93.1","92.2","93.9"
"Kesterson ES","93.1","-","94.3","93.1","91.6","93.4","91.9","94.0","93.0","93.8","93.1"
"Kim ES","92.4","N/A","95.0","92.6","91.8","90.6","93.8","93.2","90.9","93.0","92.4"
"King (Martha) ES","93.3","-","-","93.8","-","93.1","-","93.9","92.3","-","93.3"
"King (MartinLuther Jr) ES","91.8","-","-","91.8","90.5","92.9","N/A","92.3","91.3","92.4","91.8"
"Knudson MS","92.2","-","93.2","92.7","90.3","91.0","-","91.8","89.3","92.1","92.2"
