"Berkley ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bilbray ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Blackhurst ES","-","-","0","<5","-","-","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Blue DiamondES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bonner ES","-","-","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Booker ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bowler (Grant)ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bowler(Joseph) ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bozarth ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bracken ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridger MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-","0","<5","0","<5"
"Brinley MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Brookman ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Brown JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Brown, HannahMarie ES","-","-","0","<5","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bruner ES","0","<5","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bryan(Richard) ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bryan (Roger)ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Bunker ES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Burkholder MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"CadwalladerMS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Cahlan ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cambeiro ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Canarelli MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"Cannon JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
"Carl ES","0","<5","-","-","-","-","0","<5","-","-","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Carson ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cartwright ES","0","<5","-","-","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cashman MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
"CC Detention","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Christensen ES","0","<5","0","<5","-","-","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Conners ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Cortez ES","-","-","0","<5","-","-","0","<5","0","<5","-","-","N/A","N/A","N/A","N/A","N/A","N/A"
"Cortney JHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","0","<5"
