"","All Students","Am In/ AKNative","Asian","Hispanic","Black","White","PacificIslander","Two or MoreRaces","IEP","EL","FRL"
"Variety SEC","89.9","N/A","-","86.2",">95","89.9","-","92.4","89.9","83.5","89.9"
"Vassiliadis ES",">95","-",">95","93.8",">95","95.0","-",">95","94.2",">95",">95"
"Vegas Verdes ES","93.4","-",">95","93.4","92.7","93.6","-","92.8","92.7","94.3","93.4"
"Virgin Valley ES","94.3","-","-","94.5","-","94.1","N/A",">95","92.2",">95","94.3"
"Virgin Valley HS","92.2","-","94.5","92.0","-","92.5","-","92.7","90.7","91.2","92.2"
"Von Tobel MS","90.4","N/A","-","91.2","86.9","86.7","-","85.2","89.7","90.6","90.4"
"VT CTA","93.7","-",">95","93.8","91.2","93.8","-","93.4","90.2","90.7","93.7"
"WalkerInternational ES","93.4","-","-","92.3","93.8","93.6","-","94.0","91.8","94.3","93.4"
"Wallin ES","93.6","N/A","95.0","93.4","89.7","93.7","-","93.7","92.0",">95","93.6"
"Ward (Gene) ES","92.1","-","94.9","92.2","92.2","91.4","83.7","93.1","91.7","92.5","92.1"
"Ward (Kitty) ES","94.7","-",">95","94.3","92.9",">95","93.6","94.6","93.5","-","94.7"
"Warren ES","90.6","-","-","91.1","88.0","91.0","-","88.2","89.0","92.3","90.6"
"Wasden ES","91.5","-","94.2","91.7","90.5","91.8","-","91.6","90.8","92.3","91.5"
"Watson ES","92.1","-",">95","91.9","91.3","93.3","89.4","93.6","91.5","92.9","92.1"
