"","K","","1","","2","","3","","4","","5","","6","","7","","8",""
"SpringMountain Jr/SrHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5"
"Squires ES","-","-","-","-","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Stanford ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Staton ES","0","<5","-","-","0","<5","-","-","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Steele ES","-","-","0","<5","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"StevensElementarySchool","-","-","11","8.4","-","-","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Stewart School","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5"
"Stuckey ES","0","<5","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Summit ViewJ/SHS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sunrise AcresES","-","-","0","<5","0","<5","0","<5","0","<5","0","<5","N/A","N/A","N/A","N/A","N/A","N/A"
"Swainston MS","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","<5","0","<5","-","-"
